Customer_Name,Days_Since_Last_Order,Total_Orders,Total_Lifetime_Value,Recency_Score,Frequency_Score,Monetary_Score,RFM_Score,CRM_Segment,CRM_Priority
Aniruddh Sarin,511,1,391910.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Riya Ghose,557,1,382185.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Yasmin Bir,588,1,377387.5,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Navya Issac,492,1,376725.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Dharmajan Gole,725,1,368275.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Bhavin Ganesan,535,1,355720.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Jiya Sankar,644,1,348650.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Diya Sagar,514,1,348222.5,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Mamooty Choudhry,719,1,347787.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Kaira Mall,714,1,345000.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Sara Keer,632,1,343630.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Yasmin Vala,578,1,343040.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Purab Boase,515,1,342567.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Reyansh Bassi,704,1,342335.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Arhaan Sinha,514,1,342040.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Armaan Chaudhry,687,1,341830.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Charvi Raman,534,1,340765.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Pihu Char,643,1,338971.5,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Kashvi Rout,711,1,338545.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Adira Seshadri,529,1,337675.25,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Advika Hora,548,1,336306.75,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Piya Ram,671,1,334979.5,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Jayant Bose,544,1,334107.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Ivana Sagar,641,1,333738.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Azad Sawhney,497,1,329773.5,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Faiyaz Saha,529,1,328101.5,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Saira Gala,686,1,327690.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Kaira Goswami,540,1,321151.25,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Uthkarsh Bail,635,1,320819.75,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Eshani Sani,599,1,319065.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Raunak Mane,587,1,317352.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Sara Barman,710,1,316141.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Suhana Ram,499,1,315968.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Riya Manda,495,1,315732.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Ayesha Jain,628,1,314356.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Prisha Hayre,522,1,314068.5,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Devansh Kanda,503,1,314008.25,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Charvi Balasubramanian,541,1,312912.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Umang Varty,695,1,312445.5,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Rati Banerjee,493,1,311746.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Parinaaz Datta,567,1,311690.25,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Samar Chandra,591,1,310615.5,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Hridaan Ganguly,644,1,309745.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Adah Bath,523,1,307933.75,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Uthkarsh Viswanathan,625,1,307660.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Fateh Iyengar,534,1,306705.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Khushi Rajagopal,539,1,305031.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Chirag Char,560,1,303615.75,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Yuvraj  Manda,723,1,302904.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Mishti Bala,631,1,302863.5,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Mannat Dugar,632,1,300757.5,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Arnav Golla,674,1,300618.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Renee Bhat,597,1,299796.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Yuvraj  Behl,598,1,298219.5,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Renee Zachariah,709,1,296105.5,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Jiya Zacharia,636,1,295264.5,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Dharmajan Setty,574,1,294129.75,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Jiya Bahri,644,1,293845.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Abram Badal,692,1,293572.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Anahi Arya,719,1,292970.5,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Misha Ranganathan,715,1,292723.5,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Bhamini Kuruvilla,662,1,291243.4,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Tushar Arya,589,1,291137.75,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Anahi Dixit,565,1,290885.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Ishaan Manne,627,1,290836.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Vanya Bir,568,1,290548.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Nishith Kara,568,1,289980.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Baiju Soni,726,1,289868.75,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Arhaan Raja,593,1,289804.5,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Khushi Bhalla,500,1,289565.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Amani Sabharwal,635,1,288955.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Onkar Toor,602,1,288913.5,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Madhav Jaggi,507,1,288705.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Pihu Gola,714,1,287952.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Vidur Gandhi,689,1,287884.2,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Yasmin Goswami,511,1,285570.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Ehsaan Bhatnagar,684,1,283855.25,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Navya Deshpande,671,1,283532.25,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Kavya Rajan,723,1,282896.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Seher Raja,507,1,282750.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Azad Kota,567,1,280820.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Mohanlal Badal,677,1,279550.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Mannat Sodhi,526,1,278347.5,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Lakshay Kurian,556,1,277952.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Zaina Kadakia,518,1,277794.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Renee Ramesh,720,1,277087.5,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Yuvraj  Virk,596,1,275852.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Samaira Ramakrishnan,533,1,274876.8,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Badal Sanghvi,510,1,274838.4,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Azad Khatri,605,1,273413.8,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Hansh Randhawa,566,1,272830.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Abram Brar,531,1,271944.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Shlok Mander,600,1,271426.5,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Shaan Brahmbhatt,669,1,271354.5,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Vihaan Bhalla,677,1,270185.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Hansh Sundaram,703,1,269914.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Vaibhav Dhar,576,1,269413.2,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Shray Arya,646,1,268348.4,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Ayesha Ray,586,1,266460.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Anaya Chaudhari,589,1,265684.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Kaira Sinha,487,1,265568.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Jivin Dutt,540,1,264762.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Manikya Kara,491,1,264204.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Armaan Dugar,726,1,263736.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Veer Dugal,686,1,263434.5,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Gokul Soman,725,1,262557.2,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Sumer Bhandari,506,1,261839.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Saira Dora,674,1,260488.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Anvi Sridhar,515,1,259617.2,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Amira Swamy,685,1,259488.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Hunar Sastry,534,1,259477.2,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Jivin Jani,691,1,259436.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Yakshit Chakraborty,615,1,259035.8,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Vritika Gade,568,1,258344.75,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Sana Gulati,711,1,257886.6,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Kabir Dubey,718,1,257712.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Shalv Bava,572,1,257014.8,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Lagan Venkatesh,706,1,256435.4,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Nishith Saha,492,1,255806.5,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Navya Chandra,688,1,255308.8,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Yakshit Dhingra,682,1,254444.2,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Sana Ramanathan,681,1,254435.6,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Anya Dyal,504,1,253627.2,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Rhea Krishnamurthy,668,1,251704.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Hiran Soman,561,1,251605.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Navya Kale,703,1,250918.4,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Ritvik Kumar,659,1,247761.4,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Ojas Balakrishnan,680,1,246460.4,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Keya Goswami,694,1,243584.5,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Indrajit Kaul,559,1,243252.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Samiha Chopra,722,1,242400.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Ivan Ray,698,1,241892.8,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Madhav Kota,549,1,241874.75,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Prisha Jha,660,1,241807.5,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Yakshit Borde,676,1,240996.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Neelofar Ray,547,1,240301.8,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Kiara Vasa,590,1,239888.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Raghav Hari,490,1,239523.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Inaaya  Sood,493,1,239376.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Elakshi Sangha,507,1,238054.5,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Lagan Thakur,547,1,237750.8,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Miraan Gupta,596,1,237424.5,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Khushi Batta,497,1,237168.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Alia Ravi,541,1,236819.8,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Eshani Chana,574,1,236648.8,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Fateh Khanna,488,1,236048.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Faiyaz Soni,700,1,236025.6,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
